PassengerId,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0001_01,False,39.0,False,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True
0002_01,False,24.0,False,0.0076080128428840646,0.0003018817294468856,0.0010641920653839604,0.024500178507675833,0.0018232296026188207,True,False,False,False,True
0003_01,False,58.0,True,0.0030013261673762824,0.11994767383356253,0.0,0.2996697607997144,0.002030414784734596,False,True,False,False,True
0003_02,False,33.0,False,0.0,0.04303491765337269,0.015792610250297972,0.14856301320956802,0.007997348029668918,False,True,False,False,True
0004_01,False,16.0,False,0.021148879737558454,0.0023479690068091102,0.006427720074919121,0.025214209210996073,8.287407284631003e-05,True,False,False,False,True
0005_01,False,44.0,False,0.0,0.01620098614698286,0.0,0.012986433416636916,0.0,True,False,False,True,False
0006_01,False,26.0,False,0.0029315278844140435,0.05162177573541744,0.00012770304784607525,0.0,0.0,True,False,False,False,True
0006_02,True,28.0,False,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True
0007_01,False,35.0,False,0.0,0.02633079529064502,0.0007236506044610931,0.009639414494823279,0.0,True,False,False,False,True
0008_01,True,14.0,False,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False
0008_02,True,34.0,False,0.0,0.0,0.0,0.0,0.0,True,True,False,False,True
0008_03,False,45.0,False,0.002722133035527326,0.24469191292389225,0.02507236506044611,0.004908961085326669,0.005138192516471222,True,True,False,False,False
0009_01,False,32.0,False,0.005095274656243457,0.0,0.0478035075770475,0.0,0.004682385115816517,True,False,True,False,True
0010_01,False,48.0,False,0.05018496544984993,3.3542414382987286e-05,0.0027668993699982974,0.0,0.0009944888741557204,False,False,False,False,True
0011_01,False,28.0,False,0.000558386263697913,0.03267031160902962,0.000510812191384301,8.925383791503035e-05,0.0002900592549620851,True,False,False,False,True
0012_01,False,31.0,False,0.002233545054791652,0.0,0.03728928997105398,0.0,0.0,False,False,False,False,True
0014_01,False,27.0,False,0.08976059188943952,0.004092174554724449,0.0,0.0,0.0,False,False,True,False,False
0015_01,False,24.0,False,0.0,3.3542414382987286e-05,0.0,0.0,0.026395392201549746,False,False,False,False,False
